,ZipCode,Issue Reported,Longitude,Status Date
7451,78749,Traffic Hazard,-97.839917,03/10/2019 10:30:06 PM +0000
7452,78729,Crash Urgent,-97.80395,03/10/2019 11:00:06 PM +0000
7510,78756,Crash Urgent,-97.716561,03/10/2019 06:10:03 PM +0000
7511,78723,COLLISION/PRIVATE PROPERTY,-97.638434,03/10/2019 06:25:02 PM +0000
7512,78748,Crash Service,-97.787937,03/10/2019 07:35:05 PM +0000
7513,78741,Traffic Hazard,-97.698695,03/10/2019 09:40:04 PM +0000
7514,78756,Crash Urgent,-97.739874,03/10/2019 10:10:03 PM +0000
7515,78726,COLLISION WITH INJURY,-97.91125500000001,03/10/2019 11:40:04 PM +0000
7516,78701,zSTALLED VEHICLE,-97.781323,03/11/2019 04:55:03 AM +0000
7517,78748,Crash Urgent,-97.801331,03/11/2019 12:10:04 PM +0000
7518,78756,Traffic Hazard,-97.750164,03/11/2019 12:40:04 PM +0000
7519,78748,Traffic Hazard,-97.855025,03/11/2019 01:15:05 PM +0000
7520,78728,COLLISION WITH INJURY,-97.69748,03/11/2019 01:25:04 PM +0000
7532,78756,Traffic Hazard,-97.71887199999999,03/10/2019 06:00:06 PM +0000
7533,78756,Traffic Hazard,-97.719555,03/10/2019 06:00:06 PM +0000
7534,78712,Crash Service,-97.764485,03/10/2019 06:55:04 PM +0000
7535,78712,Traffic Hazard,-97.748001,03/10/2019 07:15:05 PM +0000
7536,78752,zSTALLED VEHICLE,-97.676482,03/10/2019 10:35:04 PM +0000
7537,78749,Traffic Hazard,-97.879293,03/10/2019 11:05:03 PM +0000
7538,78712,Crash Urgent,-97.743983,03/10/2019 11:45:04 PM +0000
7539,78703,Traffic Hazard,-97.807149,03/11/2019 05:00:07 AM +0000
7540,78751,Crash Service,-97.662689,03/11/2019 05:25:04 AM +0000
7541,78739,TRFC HAZD/ DEBRIS,-97.860191,03/11/2019 12:00:07 PM +0000
7570,78712,Crash Service,-97.735825,03/10/2019 08:25:03 PM +0000
7571,78751,Traffic Hazard,-97.667985,03/10/2019 10:15:03 PM +0000
7572,78757,Traffic Hazard,-97.72672,03/10/2019 11:25:04 PM +0000
7573,78741,Crash Urgent,-97.76384300000001,03/11/2019 05:15:05 AM +0000
7589,78723,COLLISN/ LVNG SCN,-97.617437,03/10/2019 06:40:05 PM +0000
7590,78712,Crash Urgent,-97.746633,03/10/2019 11:25:04 PM +0000
7591,78741,LOOSE LIVESTOCK,-97.681947,03/10/2019 11:45:04 PM +0000
7592,78751,Crash Urgent,-97.70153499999999,03/11/2019 06:15:05 AM +0000
7593,78751,Crash Urgent,-97.667152,03/11/2019 01:00:07 PM +0000
7608,78757,Traffic Hazard,-97.744939,03/10/2019 06:45:04 PM +0000
7609,78712,Crash Urgent,-97.719964,03/10/2019 06:55:04 PM +0000
7610,78729,COLLISN/ LVNG SCN,-97.731266,03/10/2019 11:55:03 PM +0000
7611,78701,Crash Urgent,-97.691118,03/11/2019 06:05:03 AM +0000
7612,78712,Crash Urgent,-97.737263,03/11/2019 06:40:05 AM +0000
7613,78729,Traffic Hazard,-97.751326,03/11/2019 01:00:07 PM +0000
7643,78757,Traffic Hazard,-97.71845,03/10/2019 07:35:05 PM +0000
7644,78712,zSTALLED VEHICLE,-97.741431,03/11/2019 12:00:07 AM +0000
7662,78749,TRFC HAZD/ DEBRIS,-97.8889,03/10/2019 07:20:05 PM +0000
7663,78712,Crash Urgent,-97.730097,03/11/2019 12:15:05 AM +0000
7664,78712,Crash Urgent,-97.732476,03/11/2019 06:25:03 AM +0000
7665,78741,TRFC HAZD/ DEBRIS,-97.73038000000001,03/11/2019 12:30:05 PM +0000
7666,78742,TRFC HAZD/ DEBRIS,-97.609481,03/11/2019 01:00:07 PM +0000
7698,78757,Traffic Hazard,-97.737701,03/10/2019 08:00:06 PM +0000
7716,78729,Traffic Hazard,-97.845022,03/11/2019 12:35:05 AM +0000
7717,78712,Crash Service,-97.737398,03/11/2019 07:10:04 AM +0000
7718,78741,Traffic Hazard,-97.70793499999999,03/11/2019 12:30:05 PM +0000
7719,78712,Crash Service,-97.73557,03/11/2019 12:40:04 PM +0000
7720,78712,Crash Urgent,-97.745977,03/11/2019 02:45:05 PM +0000
